Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9
5,tropical fruit,other vegetables,yogurt,bottled water,male cosmetics,,,,
2,white bread,brown bread,,,,,,,
3,brown bread,sugar,hygiene articles,,,,,,
8,tropical fruit,root vegetables,coffee,bottled water,red/blush wine,candy,house keeping products,shopping bags,
1,domestic eggs,,,,,,,,
4,coffee,detergent,hygiene articles,photo/film,,,,,
1,soda,,,,,,,,
1,whole milk,,,,,,,,
1,bottled beer,,,,,,,,
17,pork,beef,berries,packaged fruit/vegetables,whole milk,mayonnaise,frozen fish,frozen potato products,oil
2,other vegetables,yogurt,,,,,,,
3,yogurt,bottled water,dishes,,,,,,
1,sparkling wine,,,,,,,,
2,bottled water,candy,,,,,,,
7,citrus fruit,berries,other vegetables,butter milk,sugar,fruit/vegetable juice,hygiene articles,,
5,hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns,,,,
2,packaged fruit/vegetables,seasonal products,,,,,,,
2,other vegetables,margarine,,,,,,,
1,soda,,,,,,,,
7,whole milk,yogurt,frozen potato products,margarine,bottled water,fruit/vegetable juice,salty snack,,
2,herbs,yogurt,,,,,,,
4,citrus fruit,spread cheese,rolls/buns,soda,,,,,
1,misc. beverages,,,,,,,,
1,female sanitary products,,,,,,,,
1,soda,,,,,,,,
6,tropical fruit,whole milk,beverages,white bread,pasta,shopping bags,,,
2,soda,female sanitary products,,,,,,,
4,white bread,bottled water,soda,waffles,,,,,
3,coffee,chewing gum,chocolate marshmallow,,,,,,
9,tropical fruit,root vegetables,whole milk,frozen vegetables,honey,baking powder,coffee,red/blush wine,chocolate marshmallow
4,pork,pip fruit,whole milk,butter milk,,,,,
2,citrus fruit,bottled water,,,,,,,
1,frankfurter,,,,,,,,
2,frankfurter,rolls/buns,,,,,,,
11,frankfurter,tropical fruit,pip fruit,curd,UHT-milk,hard cheese,domestic eggs,rolls/buns,hygiene articles
1,other vegetables,,,,,,,,
3,yogurt,fruit/vegetable juice,newspapers,,,,,,
7,sausage,whole milk,yogurt,brown bread,cereals,bottled water,soda,,
1,whole milk,,,,,,,,
5,pip fruit,whole milk,curd,pastry,bottled water,,,,
1,whole milk,,,,,,,,
2,root vegetables,other vegetables,,,,,,,
2,onions,fruit/vegetable juice,,,,,,,
1,specialty chocolate,,,,,,,,
2,hamburger meat,domestic eggs,,,,,,,
1,photo/film,,,,,,,,
4,rolls/buns,soda,snack products,newspapers,,,,,
1,canned beer,,,,,,,,
1,canned beer,,,,,,,,
8,other vegetables,curd,frozen meals,frozen potato products,soda,bottled beer,kitchen towels,candles,
1,canned beer,,,,,,,,
5,curd,whipped/sour cream,rolls/buns,zwieback,spices,,,,
3,butter,fruit/vegetable juice,newspapers,,,,,,
6,other vegetables,whole milk,yogurt,domestic eggs,bottled water,soda,,,
1,whole milk,,,,,,,,
8,beef,tropical fruit,herbs,whole milk,curd,yogurt,whipped/sour cream,sliced cheese,
2,sausage,rolls/buns,,,,,,,
1,soda,,,,,,,,
2,fruit/vegetable juice,long life bakery product,,,,,,,
5,rolls/buns,coffee,long life bakery product,detergent,shopping bags,,,,
4,pip fruit,whole milk,bottled water,candy,,,,,
6,frozen vegetables,bottled beer,liquor (appetizer),chewing gum,napkins,newspapers,,,
1,beverages,,,,,,,,
8,hamburger meat,root vegetables,other vegetables,domestic eggs,roll products,oil,margarine,hygiene articles,
6,root vegetables,other vegetables,whole milk,yogurt,fruit/vegetable juice,white wine,,,
1,canned beer,,,,,,,,
2,frozen vegetables,bottled beer,,,,,,,
1,canned beer,,,,,,,,
1,newspapers,,,,,,,,
1,rolls/buns,,,,,,,,
3,hamburger meat,UHT-milk,salty snack,,,,,,
4,pip fruit,whole milk,curd,rum,,,,,
1,canned beer,,,,,,,,
5,grapes,root vegetables,frozen vegetables,domestic eggs,white wine,,,,
5,root vegetables,packaged fruit/vegetables,butter,whipped/sour cream,rolls/buns,,,,
5,citrus fruit,frozen vegetables,rolls/buns,canned beer,salty snack,,,,
2,cling film/bags,potted plants,,,,,,,
6,frankfurter,whole milk,rolls/buns,margarine,baking powder,bottled beer,,,
2,whole milk,red/blush wine,,,,,,,
13,pork,tropical fruit,whole milk,curd,yogurt,hard cheese,frozen meals,frozen dessert,domestic eggs
2,chicken,pastry,,,,,,,
3,sausage,dish cleaner,dishes,,,,,,
1,specialty bar,,,,,,,,
3,whipped/sour cream,pastry,specialty bar,,,,,,
2,root vegetables,brown bread,,,,,,,
2,rolls/buns,soda,,,,,,,
3,other vegetables,bottled beer,red/blush wine,,,,,,
11,citrus fruit,tropical fruit,berries,root vegetables,other vegetables,whole milk,butter,bottled water,rubbing alcohol
5,whole milk,processed cheese,brown bread,pastry,soda,,,,
9,frankfurter,sausage,tropical fruit,root vegetables,whole milk,yogurt,rolls/buns,pastry,candy
2,coffee,long life bakery product,,,,,,,
3,ham,rolls/buns,white wine,,,,,,
1,canned beer,,,,,,,,
1,canned beer,,,,,,,,
1,canned beer,,,,,,,,
3,pip fruit,whole milk,canned fish,,,,,,
9,pork,pip fruit,other vegetables,whole milk,curd,white bread,sugar,bottled water,soda
1,soap,,,,,,,,
5,pip fruit,butter,frozen meals,pasta,bottled water,,,,
6,beef,hamburger meat,citrus fruit,whole milk,mustard,soap,,,
10,sausage,meat,other vegetables,whole milk,yogurt,rolls/buns,soda,bottled beer,chocolate
1,frozen chicken,,,,,,,,
1,soda,,,,,,,,
8,tropical fruit,curd,yogurt,rolls/buns,brown bread,bottled water,bottled beer,seasonal products,
1,other vegetables,,,,,,,,
9,beef,citrus fruit,curd,rolls/buns,oil,margarine,specialty bar,detergent,newspapers
8,meat,pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,pickled vegetables,
7,meat,hamburger meat,root vegetables,packaged fruit/vegetables,whole milk,butter,newspapers,,
5,bottled water,soda,red/blush wine,long life bakery product,newspapers,,,,
1,rolls/buns,,,,,,,,
2,pastry,canned beer,,,,,,,
4,pork,whole milk,pastry,sauces,,,,,
6,pip fruit,sliced cheese,pastry,white wine,light bulbs,newspapers,,,
9,beef,citrus fruit,tropical fruit,yogurt,UHT-milk,frozen vegetables,rolls/buns,bottled water,skin care
7,beef,citrus fruit,berries,brown bread,sugar,coffee,kitchen towels,,
2,rolls/buns,spices,,,,,,,
10,citrus fruit,tropical fruit,herbs,whole milk,butter,curd,whipped/sour cream,frozen vegetables,canned vegetables
11,meat,beef,herbs,whole milk,frozen dessert,rolls/buns,semi-finished bread,flour,oil
3,beverages,pastry,bottled water,,,,,,
4,beef,citrus fruit,other vegetables,rolls/buns,,,,,
5,ham,whole milk,white bread,margarine,hair spray,,,,
11,hamburger meat,whole milk,oil,ketchup,soups,Instant food products,canned fish,coffee,bottled beer
10,beef,citrus fruit,other vegetables,butter milk,sliced cheese,processed cheese,rolls/buns,margarine,bottled water
9,beef,citrus fruit,whole milk,domestic eggs,rolls/buns,pastry,roll products,tea,fruit/vegetable juice
3,root vegetables,whole milk,detergent,,,,,,
12,citrus fruit,tropical fruit,grapes,other vegetables,frozen vegetables,pickled vegetables,fruit/vegetable juice,liquor,rum
2,yogurt,bottled water,,,,,,,
7,tropical fruit,root vegetables,other vegetables,whipped/sour cream,brown bread,canned fish,long life bakery product,,
3,frankfurter,root vegetables,newspapers,,,,,,
8,beef,other vegetables,whole milk,brown bread,pastry,salty snack,abrasive cleaner,shopping bags,
1,shopping bags,,,,,,,,
1,canned beer,,,,,,,,
2,rolls/buns,canned beer,,,,,,,
9,other vegetables,rolls/buns,meat spreads,bottled water,soda,misc. beverages,waffles,chocolate,candy
5,hamburger meat,other vegetables,yogurt,rolls/buns,bottled water,,,,
10,hamburger meat,citrus fruit,root vegetables,rolls/buns,Instant food products,canned fish,bottled water,soda,fruit/vegetable juice
6,frankfurter,sausage,domestic eggs,soda,chewing gum,shopping bags,,,
1,bottled beer,,,,,,,,
4,tropical fruit,domestic eggs,rolls/buns,pastry,,,,,
1,soda,,,,,,,,
6,frankfurter,root vegetables,onions,other vegetables,white bread,canned beer,,,
10,chicken,hamburger meat,herbs,whipped/sour cream,soups,soda,canned beer,dish cleaner,napkins
2,coffee,soda,,,,,,,
1,whole milk,,,,,,,,
1,margarine,,,,,,,,
2,tropical fruit,other vegetables,,,,,,,
2,meat,other vegetables,,,,,,,
3,cream cheese,bottled water,canned beer,,,,,,
1,newspapers,,,,,,,,
3,rolls/buns,pastry,newspapers,,,,,,
8,citrus fruit,other vegetables,whole milk,curd,yogurt,potato products,fruit/vegetable juice,long life bakery product,
3,whole milk,rolls/buns,detergent,,,,,,
7,frankfurter,citrus fruit,butter milk,UHT-milk,rolls/buns,female sanitary products,shopping bags,,
6,ham,other vegetables,butter,whipped/sour cream,sugar,soda,,,
4,frankfurter,citrus fruit,bottled beer,salty snack,,,,,
6,sausage,onions,curd,yogurt,domestic eggs,coffee,,,
1,domestic eggs,,,,,,,,
4,whole milk,domestic eggs,rolls/buns,soda,,,,,
3,rolls/buns,bottled beer,newspapers,,,,,,
3,whole milk,hard cheese,chocolate marshmallow,,,,,,
5,sausage,root vegetables,other vegetables,rolls/buns,soda,,,,
4,curd,butter milk,yogurt,beverages,,,,,
1,bottled water,,,,,,,,
1,beef,,,,,,,,
11,frankfurter,hamburger meat,whole milk,rolls/buns,potato products,mustard,coffee,waffles,chocolate marshmallow
3,chicken,butter,newspapers,,,,,,
9,sausage,meat,tropical fruit,pip fruit,pastry,sugar,coffee,candles,potted plants
4,pork,whole milk,whipped/sour cream,beverages,,,,,
3,yogurt,pastry,coffee,,,,,,
7,whole milk,sliced cheese,margarine,cat food,detergent,dishes,shopping bags,,
11,frankfurter,ham,whole milk,yogurt,rolls/buns,pastry,vinegar,sugar,soda
5,beef,whole milk,brown bread,specialty chocolate,newspapers,,,,
5,pip fruit,other vegetables,butter milk,cream cheese,rolls/buns,,,,
5,sausage,whole milk,rolls/buns,coffee,chocolate,,,,
2,pastry,coffee,,,,,,,
3,chicken,beef,specialty chocolate,,,,,,
8,root vegetables,other vegetables,whole milk,sliced cheese,frozen vegetables,frozen fish,frozen dessert,chocolate,
3,whole milk,frozen meals,rolls/buns,,,,,,
1,detergent,,,,,,,,
2,rolls/buns,canned fish,,,,,,,
1,house keeping products,,,,,,,,
5,yogurt,salt,jam,sparkling wine,cleaner,,,,
5,tropical fruit,curd,sliced cheese,rolls/buns,soda,,,,
1,tropical fruit,,,,,,,,
4,curd,UHT-milk,artif. sweetener,dental care,,,,,
4,beef,berries,onions,rolls/buns,,,,,
7,whole milk,brown bread,pasta,margarine,bottled water,napkins,newspapers,,
5,pork,UHT-milk,bottled water,soda,canned beer,,,,
7,other vegetables,curd,yogurt,curd cheese,margarine,cleaner,hygiene articles,,
7,rolls/buns,soda,fruit/vegetable juice,canned beer,white wine,long life bakery product,shopping bags,,
5,frankfurter,pip fruit,whole milk,rolls/buns,roll products,,,,
4,yogurt,hygiene articles,newspapers,shopping bags,,,,,
5,whole milk,curd,sliced cheese,cat food,coffee,,,,
2,bottled water,candy,,,,,,,
3,frankfurter,beef,butter,,,,,,
4,rolls/buns,soda,snack products,shopping bags,,,,,
4,whole milk,pastry,bottled water,hygiene articles,,,,,
1,rolls/buns,,,,,,,,
7,chicken,onions,other vegetables,whole milk,brown bread,white wine,red/blush wine,,
5,tropical fruit,onions,whole milk,butter,dishes,,,,
8,sausage,turkey,other vegetables,yogurt,brown bread,oil,hygiene articles,shopping bags,
8,sausage,other vegetables,whole milk,curd,hard cheese,soda,candy,newspapers,
7,frankfurter,citrus fruit,pastry,margarine,ready soups,instant coffee,shopping bags,,
5,UHT-milk,frozen dessert,fruit/vegetable juice,decalcifier,newspapers,,,,
2,rolls/buns,newspapers,,,,,,,
1,canned beer,,,,,,,,
2,yogurt,specialty bar,,,,,,,
2,whipped/sour cream,specialty bar,,,,,,,
2,rolls/buns,canned beer,,,,,,,
1,rolls/buns,,,,,,,,
2,beverages,rolls/buns,,,,,,,
1,rolls/buns,,,,,,,,
2,rolls/buns,shopping bags,,,,,,,
1,bottled beer,,,,,,,,
7,citrus fruit,curd,yogurt,sliced cheese,rolls/buns,oil,bottled water,,
2,bottled water,soda,,,,,,,
1,pastry,,,,,,,,
5,domestic eggs,rolls/buns,pastry,coffee,candles,,,,
5,beef,pip fruit,root vegetables,rolls/buns,margarine,,,,
4,spread cheese,rolls/buns,bottled water,newspapers,,,,,
4,tropical fruit,spread cheese,rolls/buns,soda,,,,,
3,packaged fruit/vegetables,canned beer,candles,,,,,,
6,whole milk,yogurt,bottled beer,white wine,salty snack,napkins,,,
7,meat,beef,other vegetables,whole milk,butter,domestic eggs,rolls/buns,,
6,onions,whole milk,bottled beer,liquor (appetizer),detergent,dishes,,,
10,frankfurter,grapes,other vegetables,butter milk,UHT-milk,brown bread,margarine,organic products,bottled water
3,beef,rolls/buns,bottled beer,,,,,,
1,beef,,,,,,,,
3,sausage,bottled beer,liquor (appetizer),,,,,,
4,chicken,onions,herbs,hygiene articles,,,,,
1,canned beer,,,,,,,,
6,sausage,root vegetables,other vegetables,whole milk,bottled beer,seasonal products,,,
5,tropical fruit,whole milk,curd,yogurt,whipped/sour cream,,,,
6,frankfurter,rolls/buns,soda,abrasive cleaner,newspapers,flower (seeds),,,
3,sausage,tropical fruit,semi-finished bread,,,,,,
4,beef,tropical fruit,root vegetables,yogurt,,,,,
4,tropical fruit,pastry,flour,rum,,,,,
1,yogurt,,,,,,,,
3,frankfurter,rolls/buns,mustard,,,,,,
1,bottled beer,,,,,,,,
2,grapes,soda,,,,,,,
2,beverages,rolls/buns,,,,,,,
3,curd,bottled beer,potted plants,,,,,,
3,ice cream,sugar,flower (seeds),,,,,,
5,sausage,rolls/buns,soda,canned beer,shopping bags,,,,
1,other vegetables,,,,,,,,
3,dessert,beverages,bottled water,,,,,,
1,decalcifier,,,,,,,,
1,canned beer,,,,,,,,
1,coffee,,,,,,,,
4,berries,other vegetables,whole milk,whipped/sour cream,,,,,
6,pork,tropical fruit,rolls/buns,semi-finished bread,bottled beer,newspapers,,,
14,frankfurter,chicken,pork,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,cream cheese
7,pork,beef,whole milk,domestic eggs,bottled water,bottled beer,hygiene articles,,
9,frankfurter,pork,citrus fruit,root vegetables,onions,other vegetables,packaged fruit/vegetables,cat food,bottled water
2,frozen dessert,brandy,,,,,,,
6,chicken,other vegetables,packaged fruit/vegetables,condensed milk,frozen vegetables,fruit/vegetable juice,,,
2,vinegar,oil,,,,,,,
3,rolls/buns,soda,specialty bar,,,,,,
1,whole milk,,,,,,,,
4,pork,root vegetables,whole milk,whipped/sour cream,,,,,
2,rolls/buns,newspapers,,,,,,,
5,grapes,other vegetables,zwieback,Instant food products,dishes,,,,
8,frankfurter,citrus fruit,whipped/sour cream,cream cheese,rolls/buns,baking powder,seasonal products,napkins,
9,finished products,root vegetables,packaged fruit/vegetables,yogurt,specialty cheese,frozen vegetables,ice cream,soda,bottled beer
3,onions,other vegetables,flour,,,,,,
3,tropical fruit,whole milk,rolls/buns,,,,,,
5,other vegetables,cream cheese,tea,chocolate,chocolate marshmallow,,,,
6,ham,turkey,beef,other vegetables,whole milk,potted plants,,,
4,other vegetables,whole milk,margarine,bottled beer,,,,,
1,curd,,,,,,,,
3,sausage,beef,other vegetables,,,,,,
3,canned beer,liquor (appetizer),chewing gum,,,,,,
17,ham,chicken,citrus fruit,berries,onions,whole milk,curd,yogurt,frozen vegetables
8,packaged fruit/vegetables,whole milk,dessert,yogurt,UHT-milk,margarine,bottled water,long life bakery product,
4,meat,rolls/buns,soda,specialty bar,,,,,
2,whole milk,dessert,,,,,,,
1,canned beer,,,,,,,,
6,chicken,UHT-milk,rolls/buns,coffee,long life bakery product,house keeping products,,,
3,rolls/buns,red/blush wine,newspapers,,,,,,
2,pet care,bottled water,,,,,,,
4,root vegetables,other vegetables,soda,shopping bags,,,,,
1,pastry,,,,,,,,
9,frankfurter,hamburger meat,whole milk,domestic eggs,rolls/buns,brown bread,margarine,bottled water,flower (seeds)
5,chicken,grapes,whole milk,whipped/sour cream,mayonnaise,,,,
2,frozen dessert,semi-finished bread,,,,,,,
13,citrus fruit,tropical fruit,grapes,yogurt,rolls/buns,margarine,canned fruit,bottled water,soda
11,sausage,pork,beef,berries,root vegetables,whole milk,butter,rolls/buns,cat food
13,root vegetables,onions,other vegetables,packaged fruit/vegetables,whole milk,whipped/sour cream,frozen vegetables,rolls/buns,pasta
4,root vegetables,whole milk,yogurt,rolls/buns,,,,,
1,bottled beer,,,,,,,,
2,frankfurter,canned beer,,,,,,,
4,root vegetables,whole milk,butter,coffee,,,,,
8,berries,other vegetables,whipped/sour cream,UHT-milk,bottled water,soda,hygiene articles,newspapers,
1,hamburger meat,,,,,,,,
8,tropical fruit,whole milk,rolls/buns,semi-finished bread,margarine,fruit/vegetable juice,long life bakery product,newspapers,
5,frankfurter,pork,beverages,frozen meals,waffles,,,,
5,frankfurter,sausage,frozen fish,margarine,specialty bar,,,,
2,soda,newspapers,,,,,,,
1,ice cream,,,,,,,,
6,beef,whole milk,frozen vegetables,brown bread,pastry,coffee,,,
5,whole milk,pastry,bottled water,newspapers,photo/film,,,,
9,pork,fish,whole milk,butter,curd,yogurt,whipped/sour cream,flour,sugar
2,whole milk,chewing gum,,,,,,,
1,bottled beer,,,,,,,,
5,pork,grapes,UHT-milk,brown bread,margarine,,,,
2,root vegetables,potted plants,,,,,,,
1,canned beer,,,,,,,,
9,citrus fruit,root vegetables,whole milk,butter,whipped/sour cream,oil,mustard,bottled water,bottled beer
8,pip fruit,herbs,other vegetables,whole milk,coffee,female sanitary products,hygiene articles,shopping bags,
5,root vegetables,dessert,yogurt,cream cheese,rice,,,,
5,tropical fruit,curd,rolls/buns,organic products,newspapers,,,,
11,beef,root vegetables,other vegetables,whole milk,butter,soft cheese,hard cheese,domestic eggs,pasta
5,chicken,pork,whole milk,butter,white bread,,,,
9,citrus fruit,grapes,whole milk,rolls/buns,pastry,oil,margarine,candles,newspapers
12,meat,beef,tropical fruit,pip fruit,other vegetables,whipped/sour cream,soft cheese,frozen meals,margarine
3,cream cheese,spread cheese,rolls/buns,,,,,,
6,citrus fruit,herbs,whole milk,bottled water,bottled beer,potted plants,,,
1,specialty bar,,,,,,,,
9,meat,other vegetables,whole milk,beverages,rolls/buns,margarine,chocolate,napkins,newspapers
3,citrus fruit,tropical fruit,pip fruit,,,,,,
7,frankfurter,beef,tropical fruit,root vegetables,packaged fruit/vegetables,whole milk,frozen vegetables,,
2,citrus fruit,whole milk,,,,,,,
6,turkey,root vegetables,other vegetables,curd,bottled beer,specialty chocolate,,,
10,citrus fruit,onions,whole milk,curd,yogurt,rolls/buns,pasta,mustard,dog food
2,sausage,domestic eggs,,,,,,,
1,newspapers,,,,,,,,
2,whole milk,yogurt,,,,,,,
1,yogurt,,,,,,,,
1,yogurt,,,,,,,,
1,bottled water,,,,,,,,
4,berries,whole milk,whipped/sour cream,domestic eggs,,,,,
4,packaged fruit/vegetables,whole milk,rolls/buns,pastry,,,,,
2,frankfurter,soda,,,,,,,
7,nuts/prunes,whole milk,semi-finished bread,jam,soda,potted plants,shopping bags,,
12,citrus fruit,other vegetables,packaged fruit/vegetables,whole milk,butter,whipped/sour cream,flour,sugar,coffee
8,beef,citrus fruit,root vegetables,onions,curd,hard cheese,rolls/buns,fruit/vegetable juice,
6,whole milk,yogurt,frozen vegetables,coffee,canned beer,napkins,,,
2,other vegetables,whipped/sour cream,,,,,,,
2,beef,other vegetables,,,,,,,
10,fish,berries,other vegetables,whole milk,dessert,yogurt,spread cheese,coffee,white wine
8,other vegetables,whole milk,curd,frozen vegetables,domestic eggs,sugar,instant coffee,newspapers,
11,tropical fruit,berries,root vegetables,whole milk,butter,yogurt,whipped/sour cream,sliced cheese,hard cheese
1,coffee,,,,,,,,
11,sausage,pork,other vegetables,frozen fish,rolls/buns,semi-finished bread,artif. sweetener,ready soups,bottled water
7,meat,root vegetables,whipped/sour cream,beverages,cream cheese,waffles,dishes,,
13,chicken,tropical fruit,pip fruit,root vegetables,other vegetables,packaged fruit/vegetables,butter,rolls/buns,margarine
7,berries,whole milk,whipped/sour cream,margarine,organic products,fruit/vegetable juice,shopping bags,,
2,frozen meals,misc. beverages,,,,,,,
1,whipped/sour cream,,,,,,,,
5,beef,root vegetables,bottled beer,chocolate,shopping bags,,,,
12,chicken,pork,other vegetables,whole milk,whipped/sour cream,UHT-milk,domestic eggs,rolls/buns,bottled water
15,chicken,pork,hamburger meat,pip fruit,nuts/prunes,root vegetables,other vegetables,whole milk,spread cheese
14,beef,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,hard cheese,rolls/buns
2,packaged fruit/vegetables,pickled vegetables,,,,,,,
1,sugar,,,,,,,,
12,frankfurter,sausage,beef,root vegetables,packaged fruit/vegetables,whole milk,dessert,yogurt,sliced cheese
4,berries,frozen vegetables,pet care,instant coffee,,,,,
4,bottled water,soda,chewing gum,napkins,,,,,
8,sausage,chicken,citrus fruit,berries,root vegetables,curd,beverages,abrasive cleaner,
7,whole milk,UHT-milk,domestic eggs,soda,fruit/vegetable juice,dishes,newspapers,,
2,ice cream,rolls/buns,,,,,,,
4,frankfurter,citrus fruit,tropical fruit,rolls/buns,,,,,
8,root vegetables,whole milk,white bread,brown bread,sweet spreads,dog food,brandy,shopping bags,
3,sausage,rolls/buns,specialty chocolate,,,,,,
12,sausage,ham,citrus fruit,tropical fruit,berries,packaged fruit/vegetables,whole milk,whipped/sour cream,sliced cheese
4,beef,root vegetables,whole milk,cream cheese,,,,,
1,fruit/vegetable juice,,,,,,,,
2,sugar,hygiene articles,,,,,,,
2,berries,whipped/sour cream,,,,,,,
3,yogurt,beverages,coffee,,,,,,
2,pork,beef,,,,,,,
2,bottled beer,shopping bags,,,,,,,
5,curd,butter milk,yogurt,sliced cheese,coffee,,,,
3,beef,Instant food products,canned beer,,,,,,
9,pork,berries,whipped/sour cream,beverages,flour,oil,soda,chocolate,newspapers
1,white bread,,,,,,,,
6,grapes,whole milk,processed cheese,rolls/buns,white bread,fruit/vegetable juice,,,
2,potato products,flower (seeds),,,,,,,
7,root vegetables,onions,yogurt,rolls/buns,coffee,bottled water,dishes,,
7,chicken,hamburger meat,UHT-milk,soda,canned beer,bathroom cleaner,newspapers,,
3,chicken,other vegetables,salt,,,,,,
3,fish,cream cheese,coffee,,,,,,
1,canned beer,,,,,,,,
6,other vegetables,whole milk,frozen meals,rolls/buns,brown bread,napkins,,,
9,chicken,pork,whole milk,frozen vegetables,brown bread,vinegar,bottled beer,red/blush wine,newspapers
2,other vegetables,misc. beverages,,,,,,,
2,tropical fruit,whole milk,,,,,,,
3,whole milk,cake bar,newspapers,,,,,,
5,beef,hamburger meat,berries,pastry,hygiene articles,,,,
5,sausage,grapes,rolls/buns,soda,salty snack,,,,
3,whole milk,rolls/buns,chocolate,,,,,,
2,rolls/buns,soda,,,,,,,
4,citrus fruit,tropical fruit,pip fruit,other vegetables,,,,,
7,whole milk,sliced cheese,domestic eggs,artif. sweetener,bottled water,soda,shopping bags,,
3,pastry,soda,bottled beer,,,,,,
14,tropical fruit,other vegetables,whole milk,yogurt,soft cheese,hard cheese,spread cheese,curd cheese,frozen vegetables
3,sliced cheese,pastry,newspapers,,,,,,
1,soda,,,,,,,,
8,ham,citrus fruit,whole milk,dessert,frozen meals,coffee,popcorn,shopping bags,
1,salty snack,,,,,,,,
8,whole milk,curd,cream cheese,flour,coffee,bottled water,misc. beverages,newspapers,
2,root vegetables,whipped/sour cream,,,,,,,
3,soda,canned beer,shopping bags,,,,,,
7,curd,roll products,margarine,bottled water,canned beer,white wine,dish cleaner,,
5,bottled water,soda,fruit/vegetable juice,bottled beer,napkins,,,,
2,packaged fruit/vegetables,potted plants,,,,,,,
6,tropical fruit,root vegetables,frozen vegetables,ice cream,bottled water,cling film/bags,,,
15,ham,beef,grapes,yogurt,whipped/sour cream,domestic eggs,white bread,pastry,bottled water
8,pork,citrus fruit,UHT-milk,brown bread,soda,bottled beer,canned beer,long life bakery product,
6,beverages,rolls/buns,soda,misc. beverages,liqueur,cake bar,,,
3,sausage,rolls/buns,soda,,,,,,
8,sausage,citrus fruit,whole milk,yogurt,rolls/buns,bottled water,soda,napkins,
7,root vegetables,whole milk,butter,yogurt,cream cheese,frozen fish,shopping bags,,
2,whole milk,cream cheese,,,,,,,
8,frankfurter,turkey,root vegetables,other vegetables,yogurt,rolls/buns,pastry,ready soups,
2,soda,shopping bags,,,,,,,
2,soda,bottled beer,,,,,,,
2,frankfurter,popcorn,,,,,,,
6,berries,whole milk,whipped/sour cream,pickled vegetables,detergent,newspapers,,,
1,canned beer,,,,,,,,
5,frankfurter,pork,white bread,canned vegetables,soda,,,,
15,frankfurter,hamburger meat,whole milk,butter,curd,flour,rice,oil,sugar
8,berries,root vegetables,whole milk,beverages,sugar,soups,coffee,shopping bags,
2,frankfurter,rolls/buns,,,,,,,
1,newspapers,,,,,,,,
2,frozen fish,newspapers,,,,,,,
2,tropical fruit,newspapers,,,,,,,
8,beef,grapes,berries,whole milk,yogurt,rolls/buns,newspapers,potted plants,
5,rolls/buns,coffee,instant coffee,salty snack,specialty chocolate,,,,
2,specialty chocolate,potted plants,,,,,,,
2,sparkling wine,dish cleaner,,,,,,,
3,citrus fruit,napkins,shopping bags,,,,,,
3,onions,herbs,bottled beer,,,,,,
4,whole milk,pastry,detergent,candles,,,,,
1,photo/film,,,,,,,,
1,hamburger meat,,,,,,,,
4,other vegetables,whole milk,white bread,chewing gum,,,,,
3,whole milk,rolls/buns,shopping bags,,,,,,
7,pork,tropical fruit,grapes,hard cheese,soda,napkins,shopping bags,,
19,tropical fruit,grapes,berries,other vegetables,whole milk,butter,dessert,yogurt,whipped/sour cream
8,chicken,pork,citrus fruit,other vegetables,whipped/sour cream,white bread,chewing gum,potted plants,
2,other vegetables,chewing gum,,,,,,,
3,sausage,bottled water,red/blush wine,,,,,,
3,whole milk,whipped/sour cream,baking powder,,,,,,
2,rolls/buns,coffee,,,,,,,
1,hygiene articles,,,,,,,,
2,ice cream,newspapers,,,,,,,
6,curd,whipped/sour cream,domestic eggs,flour,misc. beverages,newspapers,,,
3,whole milk,frozen meals,newspapers,,,,,,
8,onions,whole milk,dessert,domestic eggs,rolls/buns,white bread,coffee,bottled water,
5,finished products,organic sausage,sliced cheese,white bread,fruit/vegetable juice,,,,
3,salt,dog food,long life bakery product,,,,,,
10,tropical fruit,root vegetables,other vegetables,domestic eggs,white bread,brown bread,canned vegetables,soda,fruit/vegetable juice
3,other vegetables,whole milk,yogurt,,,,,,
1,chocolate,,,,,,,,
1,ice cream,,,,,,,,
3,tropical fruit,oil,cat food,,,,,,
8,frankfurter,citrus fruit,whole milk,yogurt,sliced cheese,specialty cheese,pastry,fruit/vegetable juice,
5,butter,pasta,canned fish,softener,flower (seeds),,,,
4,other vegetables,butter milk,frozen fish,salty snack,,,,,
4,tropical fruit,pastry,canned beer,chocolate,,,,,
9,citrus fruit,root vegetables,packaged fruit/vegetables,yogurt,sliced cheese,rolls/buns,white bread,brown bread,zwieback
5,UHT-milk,salt,soda,specialty chocolate,shopping bags,,,,
1,beef,,,,,,,,
5,curd,yogurt,spread cheese,sugar,canned vegetables,,,,
9,citrus fruit,other vegetables,whole milk,dessert,yogurt,frozen vegetables,fruit/vegetable juice,bottled beer,salty snack
4,yogurt,brown bread,bottled beer,white wine,,,,,
3,bottled beer,liquor,red/blush wine,,,,,,
1,grapes,,,,,,,,
3,pork,other vegetables,soda,,,,,,
17,sausage,citrus fruit,berries,other vegetables,whole milk,yogurt,whipped/sour cream,cream cheese,frozen vegetables
